رمز الشركة,اسم الشركة,السوق,السعر,التغير الشهري,أعلى سعر سنوي,أدنى سعر سنوي,القيمة السوقية,تاريخ الادراج,مكرر الربحية,مكرر الربحية المتوقع,صافي الربح,نمو صافي الربح,مكرر المبيعات,نمو المبيعات,نمو التدفقات النقدية,مكرر التدفقات النقدية,العائد على حقوق الملكية,العائد على راس المال المستثمر,توزيعات الأرباح,نسبة التوزيعات من الأرباح,نمو التوزيعات,تقييم التوزيعات,,
9532.SR, مياه الجوف , نمو , 1.62 ,-10.00%, 2.41 , 0.89 ," 151,875,000 ",10/03/2022, 54.00 , غير متوفر ," 3,366,451 ",-29%, 2.02 ,4%,116%, 61.17 ,4%,6%,0.00%,0.00%,0.00%,NA,,
4346.SR, ميفك ريت , تداول , 4.00 ,2.04%, 4.86 , 3.62 ," 293,107,200 ",30/09/2021, 25.00 , غير متوفر ," (22,986,482)",2%, 4.54 ,135%,-25%, 19.25 ,-4%,0%,0.00%,حققت خسائر,-100.00%,NA,,
6002.SR, هرفي للأغذية , تداول , 24.80 ,18.32%, 33.65 , 18.00 ," 1,604,064,000 ",03/03/2010, غير متوفر , غير متوفر ," (116,524,061)",-1489%, 1.43 ,-4%,-4%, 13.75 ,-12%,-5%,0.00%,حققت خسائر,-100.00%,NA,,
8270.SR, بروج للتأمين , تداول , 18.64 ,2.31%, 24.42 , 15.60 ," 559,200,000 ",04/03/2010, 40.52 , 13.71 ," 9,385,999 ",-53%, 1.47 ,1%,-687%, سالب ,2%,0%,0.00%,0.00%,0.00%,NA,,
4192.SR, السيف غاليري , تداول , 7.23 ,-7.31%, 12.10 , 6.86 ," 2,530,500,000 ",29/12/2022, 65.73 , غير متوفر ," 37,539,556 ",-62%, 3.46 ,2%,313%, 15.30 ,9%,3%,0.00%,0.03%,-99.99%,NA,,
9620.SR, بلسم الطبية , نمو , 75.00 ,-6.25%, 85.00 , 66.00 , Unavailable ,11/12/2024, غير متوفر , غير متوفر , Unavailable ,Unavailable, Unavailable ,Unavailable,Unavailable, Unavailable ,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,NA,,
9579.SR, البخور الذكي , نمو , 48.00 ,-9.60%, 59.00 , 30.63 ," 112,320,000 ",02/10/2023, 16.00 , غير متوفر ," 5,276,152 ",42%, 4.46 ,9%,-38%, سالب ,17%,12%,0.00%,0.00%,0.00%,NA,,
9614.SR, نقاوة , نمو , 21.18 ,-8.31%, 25.00 , 8.25 , Unavailable ,06/11/2024, غير متوفر , غير متوفر , Unavailable ,Unavailable, Unavailable ,Unavailable,Unavailable, Unavailable ,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,NA,,
2130.SR, صدق , تداول , 29.10 ,10.65%, 32.55 , 22.64 ," 392,850,000 ",03/03/2010, غير متوفر , غير متوفر ," (72,680,530)",-95%, 3.03 ,-3%,-8%, سالب ,-85%,-26%,0.00%,حققت خسائر,0.00%,NA,,
2360.SR, الفخارية , تداول , 33.95 ,-1.16%, 50.00 , 29.70 ," 509,250,000 ",03/03/2010, غير متوفر , غير متوفر ," (129,725,618)",-573%, 9.17 ,-1%,60%, سالب ,-70%,-21%,0.00%,حققت خسائر,0.00%,NA,,
1210.SR, بي سي آي , تداول , 28.65 ,1.24%, 36.75 , 25.00 ," 787,875,000 ",04/03/2010, 92.42 , غير متوفر ," 26,386,395 ",54%, 1.04 ,2%,-88%, 72.54 ,4%,6%,0.00%,0.00%,-100.00%,NA,,
1832.SR, صدر , تداول , 3.08 ,0.98%, 4.09 , 2.78 ," 539,000,000 ",24/12/2020, غير متوفر , غير متوفر ," (11,457,542)",41%, 5.19 ,-6%,91%, سالب ,-7%,-5%,0.00%,حققت خسائر,0.00%,NA,,
8150.SR, أسيج , تداول , 15.00 ,20.00%, 21.76 , 12.26 ," 436,500,000 ",04/03/2010, 9.09 , غير متوفر ," (16,489,000)",-126%, 0.53 ,-4%,-142%, سالب ,-6%,0%,0.00%,حققت خسائر,0.00%,NA,,
9551.SR, برج المعرفة , نمو , 13.00 ,-7.14%, 21.10 , 5.46 ," 227,500,000 ",27/11/2022, 76.47 , غير متوفر ," 3,391,382 ",-37%, 15.16 ,7%,-248%, سالب ,-13%,-5%,0.00%,-201.44%,-100.00%,NA,,
9615.SR, مفيد , نمو , 64.90 ,-6.48%, 92.80 , 62.00 , Unavailable ,26/11/2024, غير متوفر , غير متوفر , Unavailable ,Unavailable, Unavailable ,Unavailable,Unavailable, Unavailable ,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,NA,,
2030.SR, المصافي , تداول , 61.30 ,-3.92%, 87.20 , 52.50 ," 919,500,000 ",03/03/2010, غير متوفر , غير متوفر ," (53,509,628)",-795%, (63.19),-314%,487%, 178.51 ,-13%,-15%,0.00%,حققت خسائر,-100.00%,NA,,
3091.SR, أسمنت الجوف , تداول , 9.94 ,-3.31%, 12.94 , 9.62 ," 1,080,478,000 ",19/09/2010, 15.29 , 18.41 ," 42,701,046 ",174%, 3.39 ,20%,-21%, سالب ,3%,4%,0.00%,0.00%,0.00%,NA,,
9406.SR, -   , -   , 10.32 ,-6.69%, 12.58 , 9.73 ," 83,210,955 ",23/08/2022, غير متوفر , غير متوفر , Unavailable ,Unavailable, -   ,Unavailable,Unavailable, -   ,0%,0%,0.00%,0.00%,Unavailable,NA,,
4240.SR, سينومي ريتيل , تداول , 12.70 ,12.19%, 16.76 , 7.50 ," 1,457,533,915 ",04/03/2010, غير متوفر , غير متوفر ," (1,166,806,272)",-1048%, 0.28 ,-13%,0%, 4.32 ,581%,-2%,0.00%,حققت خسائر,0.00%,NA,,
6060.SR, الشرقية للتنمية  , تداول , 18.74 ,-1.37%, 24.60 , 15.50 ," 562,200,000 ",04/03/2010, 50.65 , غير متوفر ," (4,166,000)",-2143%, 6.55 ,0%,40%, سالب ,-1%,0%,0.00%,حققت خسائر,0.00%,NA,,
4018.SR, الموسى , تداول , 164.20 ,9.47%, 182.80 , 126.60 , Unavailable ,07/01/2025, غير متوفر , غير متوفر , Unavailable ,Unavailable, Unavailable ,Unavailable,Unavailable, Unavailable ,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,NA,,
9618.SR, الفاخرة , نمو , 5.80 ,-4.13%, 6.65 , 5.35 , Unavailable ,28/11/2024, غير متوفر , غير متوفر , Unavailable ,Unavailable, Unavailable ,Unavailable,Unavailable, Unavailable ,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,NA,,
1020.SR, الجزيرة , تداول , 16.86 ,-1.17%, 19.30 , 14.70 ," 17,281,500,000 ",04/03/2010, 16.69 , 7.39 ," 1,230,933,000 ",21%, 2.81 ,22%,188%, 10.38 ,8%,1%,0.00%,0.30%,2963.33%,NA,,
4006.SR, أسواق المزرعة , تداول , 20.86 ,2.25%, 26.85 , 17.70 ," 938,700,000 ",24/06/2014, 40.90 , غير متوفر ," 25,430,000 ",17%, 0.51 ,1%,263%, 6.87 ,4%,0%,0.00%,0.00%,-100.00%,NA,,
4337.SR, سيكو السعودية ريت , تداول , 4.04 ,4.94%, 4.83 , 3.48 ," 231,249,600 ",23/01/2018, غير متوفر , غير متوفر ," (106,112,029)",37%, 14.08 ,-46%,6751%, 30.51 ,-35%,1%,0.00%,حققت خسائر,-100.00%,NA,,
2084.SR, مياهنا , تداول , 23.04 ,11.52%, 45.55 , 12.64 , Unavailable ,06/06/2024, غير متوفر , غير متوفر , Unavailable ,Unavailable, Unavailable ,Unavailable,Unavailable, Unavailable ,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,NA,,
2180.SR, فيبكو , تداول , 37.70 ,-1.05%, 56.10 , 32.90 ," 433,550,000 ",04/03/2010, 41.43 , غير متوفر ," 930,890 ",-92%, 1.85 ,3%,-67%, 57.12 ,1%,0%,0.00%,0.00%,0.00%,NA,,
2285.SR, المطاحن العربية , تداول , 45.55 ,-2.57%, 72.60 , 42.55 , Unavailable ,08/10/2024, 10.95 , غير متوفر , Unavailable ,Unavailable, Unavailable ,Unavailable,Unavailable, Unavailable ,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,NA,,
9553.SR, ملان , نمو , 2.91 ,-7.91%, 4.60 , 2.88 ," 77,406,000 ",25/12/2022, 3.00 , غير متوفر ," (4,122,774)",-529%, 1.23 ,6%,-49%, سالب ,-12%,-6%,0.00%,حققت خسائر,0.00%,NA,,
1201.SR, تكوين , تداول , 8.99 ,-0.99%, 15.08 , 7.65 ," 687,416,844 ",11/02/2012, غير متوفر , 56.19 ," (163,028,999)",-41%, 0.98 ,-22%,-316%, سالب ,-41%,-6%,0.00%,حققت خسائر,0.00%,NA,,
4210.SR, الأبحاث والإعلام , تداول , 167.20 ,-2.90%, 309.00 , 152.00 ," 13,376,000,000 ",03/03/2010, 66.35 , 20.37 ," 201,690,000 ",-64%, 4.10 ,-13%,107%, 211.78 ,6%,14%,0.00%,0.00%,0.00%,NA,,
9577.SR, دار المركبة , نمو , 3.49 ,17.51%, 5.00 , 1.45 ," 174,500,000 ",29/08/2023, غير متوفر , غير متوفر ," (73,939)",-103%, 2.46 ,18%,-407%, سالب ,0%,-3%,0.00%,حققت خسائر,0.00%,NA,,
9588.SR, حديد الرياض , نمو , 1.90 ,-6.40%, 3.29 , 1.66 ," 133,000,000 ",03/12/2023, 11.88 , غير متوفر ," 2,534,236 ",119%, 0.99 ,-14%,-146%, سالب ,16%,8%,0.00%,0.00%,0.00%,NA,,
9510.SR, الوطنية للبناء والتسويق , نمو , 198.00 ,23.75%, 301.00 , 145.20 ," 2,376,000,000 ",01/07/2021, 52.52 , غير متوفر ," 19,749,414 ",-21%, 4.42 ,7%,-2%, 74.57 ,6%,5%,0.00%,0.00%,0.00%,NA,,
1810.SR, سييرا , تداول , 24.18 ,0.00%, 30.00 , 20.82 ," 7,254,000,000 ",09/06/2012, غير متوفر , 18.89 ," (198,975,107)",-178%, 1.77 ,25%,109%, 69.63 ,-3%,0%,0.00%,حققت خسائر,0.00%,NA,,
9590.SR, أرماح , نمو , 88.60 ,-0.23%, 107.60 , 45.10 ," 2,911,325,120 ",30/11/2023, 180.82 , غير متوفر ," 16,054,416 ",103%, 22.80 ,507%,55%, سالب ,4%,5%,0.00%,0.00%,0.00%,NA,,
9513.SR, حديد وطني , نمو , 2.24 ,1.36%, 3.20 , 1.96 ," 406,896,000 ",01/07/2021, 74.67 , غير متوفر ," 9,867,906 ",132%, 0.74 ,50%,462%, 11.32 ,4%,5%,0.00%,0.00%,0.00%,NA,,
4310.SR, مدينة المعرفة , تداول , 14.36 ,1.13%, 17.30 , 12.36 ," 4,872,348,000 ",11/08/2010, غير متوفر , غير متوفر ," (20,956,495)",54%, 30.68 ,138%,-533%, سالب ,-1%,-1%,0.00%,حققت خسائر,0.00%,NA,,
9596.SR, كوارا , نمو , 18.48 ,-2.33%, 20.00 , 14.32 ," 554,400,000 ",07/03/2024, 12.83 , غير متوفر ," 43,246,388 ",-20%, 2.68 ,20%,-144%, سالب ,10%,5%,0.00%,0.00%,0.00%,NA,,
7201.SR, بحر العرب , تداول , 6.00 ,2.74%, 8.08 , 4.94 ," 600,000,000 ",15/04/2020, غير متوفر , غير متوفر ," (11,952,243)",6%, 12.82 ,1%,44%, 261.32 ,-10%,-10%,0.00%,حققت خسائر,0.00%,NA,,
8050.SR, سلامة , تداول , 14.90 ,-1.84%, 36.70 , 12.94 ," 447,000,000 ",04/03/2010, 12.11 , غير متوفر ," 28,485,000 ",-41%, 0.68 ,-27%,-412%, سالب ,12%,0%,0.00%,0.00%,0.00%,NA,,
9599.SR, طاقات , نمو , 9.50 ,-7.23%, 18.00 , 9.06 ," 115,781,250 ",28/03/2024, غير متوفر , غير متوفر ," (15,941,037)",-1497%, 0.71 ,-35%,24%, سالب ,-11%,-14%,0.00%,حققت خسائر,0.00%,NA,,
8100.SR, سايكو , تداول , 15.28 ,0.79%, 22.30 , 12.98 ," 458,400,000 ",03/03/2010, 9.37 , غير متوفر ," 49,318,000 ",-31%, 0.50 ,-35%,1492%, 2.86 ,14%,24%,0.00%,0.00%,0.00%,NA,,
9401.SR, -   , -   , 24.46 ,-3.32%, 33.25 , 23.00 ," 87,694,114 ",24/10/2012, غير متوفر , غير متوفر , Unavailable ,Unavailable, -   ,Unavailable,Unavailable, -   ,0%,0%,0.00%,0.00%,Unavailable,NA,,
9610.SR, الجادة الأولى , نمو , 9.00 ,-2.17%, 11.00 , 6.60 , Unavailable ,16/10/2024, غير متوفر , غير متوفر , Unavailable ,Unavailable, Unavailable ,Unavailable,Unavailable, Unavailable ,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,NA,,
1182.SR, أملاك , تداول , 12.60 ,2.77%, 14.22 , 10.08 ," 1,284,255,000 ",14/07/2020, 28.00 , غير متوفر ," 46,314,000 ",46%, 3.28 ,50%,-37%, سالب ,4%,4%,0.00%,0.00%,-100.00%,NA,,
4008.SR, ساكو , تداول , 31.70 ,-1.25%, 41.70 , 27.45 ," 1,137,788,858 ",21/12/2015, غير متوفر , غير متوفر ," (14,085,758)",80%, 1.15 ,7%,-131%, سالب ,-4%,3%,0.00%,حققت خسائر,0.00%,NA,,
9402.SR, -   , -   , 46.80 ,-0.32%, 49.55 , 43.00 ," 101,922,210 ",14/06/2016, غير متوفر , غير متوفر , Unavailable ,Unavailable, -   ,Unavailable,Unavailable, -   ,0%,0%,0.00%,0.00%,Unavailable,NA,,
9606.SR, ثروة , نمو , 49.00 ,-3.92%, 61.00 , 45.05 , Unavailable ,27/08/2024, غير متوفر , غير متوفر , Unavailable ,Unavailable, Unavailable ,Unavailable,Unavailable, Unavailable ,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,NA,,
9564.SR, آفاق الغذاء , نمو , 35.95 ,-3.10%, 57.60 , 34.00 ," 287,600,000 ",26/03/2023, 26.05 , غير متوفر ," 9,249,056 ",4%, 5.22 ,-17%,131%, 59.86 ,9%,9%,0.00%,0.00%,0.00%,NA,,
7204.SR, توبي , تداول , 12.64 ,-4.96%, 17.00 , 11.42 ," 3,792,000,000 ",27/11/2022, 23.41 , 11.49 ," 163,335,937 ",26%, 3.54 ,-5%,55%, سالب ,34%,25%,0.00%,0.00%,-100.00%,NA,,
9561.SR, نولجنت , نمو , 31.70 ,-3.94%, 37.00 , 18.96 ," 110,950,000 ",29/03/2023, غير متوفر , غير متوفر ," (2,388,194)",-270%, 1.99 ,-11%,-65%, 366.61 ,-6%,-28%,0.00%,حققت خسائر,0.00%,NA,,
8030.SR, -   , -   , 22.00 ,3.77%, 35.05 , 17.88 ," 2,310,000,000 ",04/03/2010, 14.47 , 16.88 ," 101,994,000 ",-49%, 0.63 ,4%,-208%, سالب ,10%,89%,0.00%,0.00%,0.00%,NA,,
1835.SR, تمكين , تداول , 52.80 ,0.57%, 83.50 , 46.80 , Unavailable ,27/11/2024, غير متوفر , غير متوفر , Unavailable ,Unavailable, Unavailable ,Unavailable,Unavailable, Unavailable ,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,NA,,
2081.SR, الخريف , تداول , 157.80 ,-2.95%, 194.00 , 138.60 ," 5,523,000,000 ",27/04/2021, 24.02 , 10.21 ," 230,002,218 ",64%, 2.83 ,14%,296%, 64.28 ,34%,22%,0.00%,0.00%,0.00%,NA,,
2190.SR, سيسكو القابضة , تداول , 28.90 ,-3.67%, 39.60 , 25.00 ," 2,350,595,892 ",03/03/2010, غير متوفر , 16.61 ," (666,715)",-101%, 1.79 ,-18%,124%, 45.44 ,0%,3%,0.00%,حققت خسائر,-50.03%,NA,,
9574.SR, بروميديكس , نمو , 99.80 ,0.20%, 115.00 , 78.00 ," 349,300,000 ",26/07/2023, 12.57 , غير متوفر ," 35,404,685 ",31%, 1.62 ,42%,37%, سالب ,20%,12%,0.00%,50.00%,-100.00%,NA,,
9592.SR, المجتمع الطبية , نمو , 30.45 ,3.22%, 34.00 , 28.80 ," 289,275,000 ",22/11/2023, 145.00 , غير متوفر ," 2,041,126 ",-40%, 0.70 ,11%,2766%, 14.46 ,2%,1%,0.00%,0.00%,0.00%,NA,,
2060.SR, التصنيع , تداول , 9.40 ,2.96%, 14.24 , 8.53 ," 6,287,793,480 ",04/03/2010, 62.67 , غير متوفر ," 102,754,000 ",-41%, 1.61 ,9%,-456%, 19.29 ,1%,-1%,0.00%,0.00%,0.00%,NA,,
1202.SR, مبكو , تداول , 28.25 ,-0.88%, 45.35 , 24.96 ," 2,448,333,258 ",21/12/2015, غير متوفر , 27.43 ," (77,326,129)",4%, 2.30 ,23%,-168%, سالب ,-5%,-2%,0.00%,حققت خسائر,-100.00%,NA,,
3002.SR, أسمنت نجران , تداول , 8.55 ,-2.17%, 10.08 , 7.94 ," 1,446,700,031 ",12/05/2012, 21.38 , 17.10 ," 68,430,000 ",-1%, 2.71 ,10%,204%, 35.94 ,3%,5%,0.00%,0.00%,-100.00%,NA,,
6020.SR, جاكو , تداول , 17.84 ,-0.34%, 21.46 , 15.90 ," 535,200,000 ",03/03/2010, غير متوفر , غير متوفر ," (10,340,533)",-195%, 52.80 ,-5%,-64%, 131.45 ,-4%,-1%,0.00%,حققت خسائر,-100.00%,NA,,
1211.SR, معادن , تداول , 44.45 ,-3.16%, 57.40 , 37.85 ," 163,749,650,415 ",03/03/2010, 54.21 , 18.44 ," 2,871,544,808 ",82%, 5.03 ,11%,59%, 26.06 ,6%,5%,0.00%,0.00%,0.00%,NA,,
9512.SR, -   , -   , 34.80 ,0.00%, 37.00 , 29.10 ," 4,176,000,000 ",30/06/2021, 17.85 , 18.71 ," 310,439,020 ",64%, 6.98 ,23%,73%, 16.74 ,11%,11%,0.00%,102.69%,13.20%,NA,,
9511.SR, -   , -   , 57.00 ,0.00%, 61.00 , 43.35 ," 2,137,500,000 ",01/07/2021, 24.36 , غير متوفر ," 106,604,000 ",3%, 7.57 ,57%,-56%, سالب ,18%,11%,0.00%,42.79%,-100.00%,NA,,
9533.SR, المركز الآلي , نمو , 66.20 ,0.00%, 72.90 , 48.00 ," 198,600,000 ",01/03/2022, 48.68 , غير متوفر ," 4,075,666 ",-13%, 1.73 ,20%,-113%, سالب ,9%,7%,0.00%,0.00%,0.00%,NA,,
3001.SR, -   , -   , 11.60 ,0.00%, 13.10 , 11.02 ," 1,135,640,000 ",17/01/2012, 55.24 , غير متوفر ," 21,105,096 ",50%, 8.76 ,-37%,-90%, 95.42 ,2%,2%,0.00%,317.21%,74.59%,NA,,
4010.SR, -   , -   , 27.00 ,0.00%, 29.20 , 18.20 ," 2,700,000,000 ",04/03/2010, 81.82 , غير متوفر ," 66,416,931 ",383%, 4.75 ,20%,-121%, سالب ,2%,3%,0.00%,0.70%,-18.72%,NA,,
2040.SR, الخزف السعودي , تداول , 26.40 ,-7.04%, 37.35 , 24.00 ," 2,631,552,000 ",04/03/2010, غير متوفر , 25.88 ," (71,859,000)",66%, 1.95 ,3%,181%, 29.44 ,-5%,-4%,0.00%,حققت خسائر,-100.00%,NA,,
9625.SR, إتمام , نمو , 17.82 ,-5.41%, 19.96 , 16.50 , Unavailable ,21/01/2025, غير متوفر , غير متوفر , Unavailable ,Unavailable, Unavailable ,Unavailable,Unavailable, Unavailable ,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,NA,,
9568.SR, ميار , نمو , 3.19 ,3.24%, 5.00 , 2.75 ," 382,701,429 ",11/04/2023, غير متوفر , غير متوفر ," (19,515,118)",-2867%, 1.33 ,-14%,81%, 29.47 ,-24%,2%,0.00%,حققت خسائر,0.00%,NA,,
80504.SR, -   , -   , 5.63 ,0.00%, 5.63 , 5.63 , Unavailable ,16/12/2024, غير متوفر , غير متوفر , Unavailable ,Unavailable, Unavailable ,Unavailable,Unavailable, Unavailable ,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,NA,,
8110.SR, -   , -   , 9.50 ,0.00%, 9.50 , 9.50 ," 95,000,000 ",04/03/2010, غير متوفر , غير متوفر ," (34,570,000)",78%, 9.77 ,-95%,103%, 23.92 ,38%,-1317%,0.00%,حققت خسائر,0.00%,NA,,
9593.SR, عبر الخليج , نمو , 27.00 ,0.00%, 39.00 , 23.64 ," 202,500,000 ",18/02/2024, غير متوفر , غير متوفر ," 18,936,622 ",-30%, 0.70 ,2%,3%, 4.65 ,14%,7%,0.00%,4.04%,-83.43%,NA,,
8080.SR, -   , -   , 11.50 ,0.00%, 31.80 , -   , -   ,03/03/2010, غير متوفر , غير متوفر ," (5,604,000)",82%, -   ,15%,101%, -   ,-2%,0%,0.00%,حققت خسائر,0.00%,NA,,
9626.SR, سمايل كير , نمو , 5.85 ,-5.49%, 6.95 , 5.55 , Unavailable ,03/02/2025, غير متوفر , غير متوفر , Unavailable ,Unavailable, Unavailable ,Unavailable,Unavailable, Unavailable ,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,NA,,
9400.SR, -   , -   , 49.90 ,-0.10%, 53.50 , 47.05 ," 32,435,000 ",20/10/2012, 34.22 , غير متوفر , Unavailable ,Unavailable, -   ,Unavailable,Unavailable, -   ,0%,0%,0.00%,0.00%,Unavailable,NA,,
2286.SR, المطاحن الرابعة , تداول , 3.97 ,-4.80%, 5.79 , 3.70 , Unavailable ,29/10/2024, 12.41 , غير متوفر , Unavailable ,Unavailable, Unavailable ,Unavailable,Unavailable, Unavailable ,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,NA,,
8312.SR, -   , -   , 12.80 ,0.31%, 19.18 , 11.40 ," 384,000,000 ",02/07/2012, 21.69 , غير متوفر ," 27,237,000 ",160%, 1.71 ,18%,171%, 28.01 ,5%,8%,0.00%,0.00%,0.00%,NA,,
8070.SR, الدرع العربي , تداول , 17.58 ,3.66%, 24.86 , 16.04 ," 1,122,526,300 ",04/03/2010, 17.07 , 37.21 ," 84,378,000 ",43%, 0.82 ,44%,-59%, 27.43 ,5%,0%,0.00%,0.00%,0.00%,NA,,
9587.SR, لانا , نمو , 30.00 ,-0.33%, 40.67 , 20.00 ," 162,000,000 ",06/12/2023, 45.45 , غير متوفر ," 3,220,462 ",-45%, 3.33 ,19%,302%, 113.44 ,5%,6%,0.00%,0.00%,0.00%,NA,,
3005.SR, أسمنت ام القرى , تداول , 18.20 ,-5.99%, 20.34 , 15.10 ," 1,001,000,000 ",21/12/2015, 29.35 , 10.96 ," 47,719,184 ",1108%, 3.77 ,57%,-21%, 31.69 ,6%,7%,0.00%,0.00%,0.00%,NA,,
8160.SR, التأمين العربية , تداول , 12.62 ,0.64%, 17.62 , 11.60 ," 668,860,000 ",03/03/2010, 15.39 , غير متوفر ," 30,688,926 ",-52%, 1.02 ,-24%,-134%, سالب ,5%,14%,0.00%,0.00%,0.00%,NA,,
4290.SR, الخليج للتدريب , تداول , 28.60 ,2.14%, 39.60 , 24.68 ," 1,859,000,000 ",03/03/2010, 51.07 , غير متوفر ," 20,008,145 ",-684%, 1.63 ,12%,27%, 33.31 ,4%,7%,0.00%,33.03%,97.01%,NA,,
2340.SR, ارتبيكس , تداول , 13.52 ,-4.92%, 20.50 , 11.52 ," 1,098,500,000 ",03/03/2010, غير متوفر , غير متوفر ," (23,165,000)",-29%, 2.00 ,-19%,51%, سالب ,-2%,3%,0.00%,حققت خسائر,0.00%,NA,,
8060.SR, ولاء , تداول , 18.60 ,-1.17%, 35.30 , 16.84 ," 2,372,584,938 ",03/03/2010, 14.65 , 8.46 ," 64,303,000 ",-57%, 0.79 ,2%,-85%, 39.04 ,4%,36%,0.00%,0.00%,0.00%,NA,,
2230.SR, الكيمائية , تداول , 8.52 ,-1.73%, 12.24 , 7.00 ," 7,184,064,000 ",03/03/2010, 24.34 , غير متوفر ," 291,237,000 ",59%, 1.13 ,31%,-181%, 39.19 ,15%,10%,0.00%,14.49%,-0.06%,NA,,
4170.SR, شمس , تداول , 0.86 ,7.50%, 1.11 , 0.70 ," 994,566,264 ",03/03/2010, غير متوفر , غير متوفر ," (41,970,734)",-511%, 111.31 ,-4%,214%, 59.78 ,-8%,-5%,0.00%,حققت خسائر,0.00%,NA,,
2350.SR, كيان السعودية , تداول , 5.91 ,-2.15%, 9.56 , 5.44 ," 8,865,000,000 ",04/03/2010, غير متوفر , غير متوفر ," (1,803,719,000)",16%, 1.02 ,7%,1363%, 6.25 ,-15%,-6%,0.00%,حققت خسائر,0.00%,NA,,
8020.SR, ملاذ للتامين , تداول , 14.06 ,2.63%, 22.06 , 11.58 ," 703,000,000 ",03/03/2010, 27.57 , 9.56 ," 27,480,000 ",-30%, 0.69 ,6%,325%, 2.81 ,7%,36%,0.00%,0.00%,0.00%,NA,,
9600.SR, كومل , نمو , 58.50 ,0.86%, 69.50 , 35.75 ," 409,500,000 ",09/05/2024, 17.67 , غير متوفر ," 23,384,258 ",25%, 3.41 ,18%,-50%, سالب ,23%,16%,0.00%,19.89%,-100.00%,NA,,
4070.SR, تهامة , تداول , 16.46 ,2.49%, 18.08 , 14.70 ," 658,400,000 ",04/03/2010, غير متوفر , غير متوفر ," (28,997,742)",23%, 9.58 ,-17%,-228%, سالب ,-13%,-14%,0.00%,حققت خسائر,0.00%,NA,,
9534.SR, عزم , نمو , 28.60 ,0.35%, 35.85 , 14.68 ," 1,716,000,000 ",07/03/2022, 53.96 , 40.86 ," 21,772,106 ",21%, 9.85 ,14%,-104%," 2,105.79 ",21%,12%,0.00%,0.00%,0.00%,NA,,
4144.SR, رؤوم , تداول , 80.50 ,-3.36%, 102.70 , 62.60 , Unavailable ,21/02/2022, 20.38 , غير متوفر , Unavailable ,Unavailable, Unavailable ,Unavailable,Unavailable, Unavailable ,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,NA,,
6001.SR, حلواني إخوان , تداول , 48.30 ,1.58%, 69.40 , 42.90 ," 1,707,750,007 ",04/03/2010, 38.33 , غير متوفر ," 44,667,304 ",146%, 1.76 ,9%,85%, 34.32 ,17%,14%,0.00%,0.00%,0.00%,NA,,
9612.SR, مياه سما , نمو , 3.17 ,-0.94%, 4.37 , 2.88 , Unavailable ,21/10/2024, غير متوفر , غير متوفر , Unavailable ,Unavailable, Unavailable ,Unavailable,Unavailable, Unavailable ,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,NA,,
1214.SR, شاكر , تداول , 30.10 ,2.56%, 32.60 , 23.28 ," 1,670,550,000 ",17/06/2010, 23.70 , غير متوفر ," 81,586,000 ",25%, 1.18 ,15%,726%, 10.87 ,11%,7%,0.00%,0.00%,0.00%,NA,,
9611.SR, المتحدة للزجاج المسطح , نمو , 40.00 ,8.11%, 54.00 , 29.90 , Unavailable ,18/09/2024, غير متوفر , غير متوفر , Unavailable ,Unavailable, Unavailable ,Unavailable,Unavailable, Unavailable ,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,NA,,
9526.SR, -   , -   , 37.60 ,2.73%, 37.60 , 37.60 ," 7,699,201,600 ",26/05/2022, 72.31 , 25.07 ," 173,085,554 ",113%, 4.76 ,11%,2150%, 78.51 ,12%,20%,0.00%,0.00%,0.00%,NA,,
2210.SR, نماء للكيماويات , تداول , 27.75 ,-1.77%, 31.85 , 23.54 ," 652,680,000 ",03/03/2010, غير متوفر , غير متوفر ," (82,250,000)",-512%, 1.70 ,-23%,-159%, سالب ,-37%,-20%,0.00%,حققت خسائر,0.00%,NA,,
9565.SR, معيار , نمو , 65.60 ,-7.61%, 83.00 , 59.90 ," 87,051,200 ",01/05/2023," 3,280.00 ", غير متوفر ," (224,035)",-66%, 2.49 ,-10%,-69%, سالب ,-1%,352%,0.00%,حققت خسائر,0.00%,NA,,
2330.SR, المتقدمة , تداول , 30.15 ,3.08%, 43.15 , 25.85 ," 7,793,775,000 ",15/03/2010, غير متوفر , 9.07 ," (259,179,000)",-252%, 3.55 ,-8%,30%, سالب ,-8%,1%,0.00%,حققت خسائر,-99.98%,NA,,
